"email_id,label,email_text"
"1,spam,EARN MONEY HOME EASY GUARANTEED"
"2,spam,INCOME OPPORTUNITY UNLIMITED EARN NOW"
"3,spam,WORK HOME EARN THOUSANDS EASY"
"4,spam,GUARANTEED INCOME NO EXPERIENCE NEEDED"
"5,spam,EASY MONEY MONEY WORK HOME"
"6,ham,INTERVIEW SCHEDULED TUESDAY CONFIRM AVAILABILITY"
"7,ham,APPLICATION RECEIVED REVIEWING CANDIDATES POSITION"
"8,ham,OFFER LETTER ATTACHED SALARY BENEFITS"
"9,ham,RESUME RECEIVED THANK APPLICATION STATUS"
"10,ham,INTERVIEW FEEDBACK POSITION NEXT STEPS"
